order_id,amount,age,rating,city
78,11.75,45,2,Paris
79,16.50,22,,Lille
80,19.63,35,5,Paris
81,48.88,59,4,Lyon
82,18.76,52,2,Lyon
83,16.48,48,5,Paris
84,11.94,45,2,Lyon
85,24.52,53,4,Paris
86,21.10,57,5,Nantes
87,20.78,40,3,Lyon
88,12.53,67,5,Lyon
89,17.56,34,2,Paris
90,16.80,59,2,Paris
91,3.53,46,4,Lille
92,12.69,39,1,Paris
93,12.49,63,2,Paris
94,16.41,64,,Nantes
95,20.97,60,3,Lyon
96,20.74,48,5,Paris
97,81.76,62,2,Nantes
98,15.97,50,3,Nantes
99,3.00,41,2,Paris
100,11.89,35,1,Lyon
101,22.02,32,5,Lille
102,22.92,63,3,Lyon
103,11.04,32,4,Paris
104,31.35,42,5,Paris
105,9.09,66,5,Lyon
106,23.02,63,3,Nantes
107,28.67,60,1,Paris
108,29.86,34,,Lille
109,26.56,28,3,Lille
110,36.21,33,1,Paris
111,13.70,61,3,Lyon
112,52.64,24,1,Lille
113,11.79,38,,Paris
114,13.09,57,3,Paris
115,5.61,66,5,Paris
116,12.88,31,3,Paris
117,7.53,43,5,Paris
118,30.01,41,5,Nantes
119,7.61,58,,Lille
120,16.42,64,1,Paris
121,11.42,46,5,Paris
122,16.78,48,2,Paris
123,16.72,65,,Nantes
124,3.00,64,1,Lyon
125,10.79,49,5,Paris
126,6.65,27,1,Paris
127,9.74,39,4,Paris
128,14.93,58,2,Lyon
129,34.54,36,3,Nantes
130,19.02,54,4,Lyon
131,28.94,61,5,Paris
132,10.37,28,1,Lyon
133,24.39,47,2,Lille
134,10.65,33,4,Paris
135,14.73,52,,Paris
136,9.26,34,1,Paris
137,11.64,24,1,Paris
138,8.96,61,4,Paris
139,24.18,22,2,Paris
140,7.66,36,1,Paris
141,20.69,47,5,Paris
142,14.70,30,1,Paris
143,6.45,25,2,Lyon
144,10.59,58,2,Paris
145,28.12,66,1,Nantes
146,15.07,35,3,Nantes
147,52.64,28,,Lille
148,25.72,26,2,Lille
149,15.34,28,1,Lille
150,19.53,28,5,Lyon
151,47.07,56,3,Nantes
152,22.92,58,1,Lyon
153,9.46,25,4,Paris
154,149.66,32,5,Paris
155,9.59,45,5,Lyon
156,5.24,35,5,Paris
157,11.45,24,,Paris
158,8.43,30,1,Lille
159,11.36,43,5,Paris
160,22.07,62,5,Paris
161,9.78,61,5,Lyon
162,25.37,40,,Lyon
163,21.77,38,,Paris
164,50.56,49,1,Lille
165,28.57,58,2,Nantes
166,37.93,22,3,Lyon
167,21.24,27,2,Nantes
168,38.58,52,2,Paris
169,17.00,25,1,Lyon
170,30.53,57,,Lyon
171,21.02,34,5,Paris
172,9.81,38,4,Lille
173,9.65,43,5,Nantes
174,5.87,36,1,Paris
175,8.38,22,2,Paris
176,16.90,58,4,Paris
177,26.16,41,4,Paris
178,8.57,64,,Paris
179,30.28,38,3,Paris
180,16.82,65,2,Paris
181,9.78,53,3,Paris
182,39.37,32,2,Paris
183,18.75,64,1,Nantes
184,17.66,38,4,Paris
185,7.30,30,4,Nantes
186,10.95,56,1,Paris
187,6.82,22,1,Lyon
188,6.64,32,1,Lyon
189,38.18,29,5,Paris
190,14.76,35,3,Lille
191,16.07,40,,Nantes
192,19.17,60,5,Lille
193,14.45,49,1,Lille
194,26.89,38,3,Nantes
195,20.94,35,1,Paris
196,17.30,52,1,Paris
197,47.21,22,5,Paris
198,6.27,22,3,Paris
199,37.22,22,1,Nantes
200,4.87,32,4,Paris
201,27.51,55,3,Paris
202,19.52,51,3,Paris
203,8.48,24,5,Paris
204,14.66,22,1,Paris
205,16.28,67,2,Paris
206,26.06,26,3,Lille
207,10.79,56,2,Paris
208,13.27,31,1,Lyon
209,9.74,39,3,Paris
210,8.42,37,3,Paris
211,11.76,64,2,Paris
212,20.43,49,1,Paris
213,12.49,58,,Lyon
214,18.83,55,3,Lyon
215,16.37,40,1,Lille
216,6.95,64,3,Paris
217,17.00,26,3,Paris
218,26.17,67,2,Paris
219,15.25,44,4,Paris
220,10.30,42,2,Paris
221,7.95,65,2,Lyon
222,29.46,34,5,Lyon
223,12.50,41,4,Lyon
224,14.95,32,3,Paris
225,9.84,30,1,Paris
226,28.34,62,1,Paris
227,21.23,51,5,Paris
228,7.23,29,5,Paris
229,7.10,44,1,Nantes
230,11.94,32,5,Nantes
231,20.79,62,,Paris
232,29.19,24,4,Paris
233,35.89,61,1,Paris
234,24.17,40,,Paris
235,7.87,66,2,Lyon
236,19.01,67,2,Lyon
237,10.01,50,2,Nantes
238,6.08,43,3,Paris
239,6.57,53,5,Paris
240,30.88,41,1,Paris
